"TIME" "day","TOA","SWin","LWin","Tair","RH","rain"
"yyyy-mm-dd HH:MM:SS","TF","W.m-2","W.m-2","W.m-2","Celsius","%","mm"
2010-10-20 05:45:00,FALSE,0,0,233.329294693599,3.21277785301208,76.4055557250977,0
2010-10-20 06:00:00,FALSE,0,0,233.529294693599,3.17486023902893,76.2128524780273,0
2010-10-20 06:15:00,FALSE,0,0,233.429294693599,3.12611103057861,76.2738876342773,0
2010-10-20 06:30:00,FALSE,0,0,233.129294693599,3.02111101150513,76.1327743530273,0
2010-10-20 06:45:00,TRUE,24.0030310899723,3.53,232.029294693599,2.90555548667908,76.396110534668,0
2010-10-20 07:00:00,TRUE,76.3982688545783,16.23,230.708468254544,2.7536313533783,76.6251373291016,0
2010-10-20 07:15:00,TRUE,127.639121011174,36.35,230.1121463047,2.85111117362976,76.3983306884766,0
2010-10-20 07:30:00,TRUE,177.50611363521,61.41,228.913792238674,2.88333344459534,75.2477798461914,0
2010-10-20 07:45:00,TRUE,225.785657384753,88.3,229.634314003086,3.05666661262512,74.7377777099609,0
2010-10-20 08:00:00,TRUE,272.2709623402,119.5,229.46555533199,3.07821226119995,73.1486053466797,0
2010-10-20 08:15:00,TRUE,316.762923720332,154,229.137899834942,3.19111108779907,71.9461135864258,0
2010-10-20 08:30:00,TRUE,359.070974680786,191.9,229.527255185544,3.22222232818604,70.995002746582,0
2010-10-20 08:45:00,TRUE,399.013902542412,227.1,230.312347293302,3.45666670799255,69.3072204589844,0
2010-10-20 09:00:00,TRUE,436.420624953458,260.1,231.812444632417,3.87159085273743,67.0244293212891,0
2010-10-20 09:15:00,TRUE,471.130922661148,294.8,231.822925391685,4.07277774810791,65.3322219848633,0
2010-10-20 09:30:00,TRUE,502.996125754033,328.9,232.638248293044,4.21833324432373,64.0294418334961,0
2010-10-20 09:45:00,TRUE,531.879750436093,359.6,233.438248293044,4.371666431427,62.9616661071777,0
2010-10-20 10:00:00,TRUE,557.658083604888,382,234.902860707067,4.56536293029785,62.0407829284668,0
2010-10-20 10:15:00,TRUE,580.220712730238,405.5,236.036026654158,4.5533332824707,61.4449996948242,0
2010-10-20 10:30:00,TRUE,599.470998763694,425.6,237.092890370023,4.625,60.5505561828613,0
2010-10-20 10:45:00,TRUE,615.326490053438,436.3,238.224428464844,5.02277755737305,58.4700012207031,0
2010-10-20 11:00:00,TRUE,627.719275491703,456.9,242.664908922544,5.91955327987671,55.8849143981934,0
2010-10-20 11:15:00,TRUE,636.596275382253,464.4,240.381958298847,6.30055570602417,53.401668548584,0
2010-10-20 11:30:00,TRUE,641.919468782028,484.8,240.136391403786,6.5872220993042,51.4605560302734,0
2010-10-20 11:45:00,TRUE,643.666056343382,484.9,242.417699153409,6.86777782440186,49.6988906860352,0
2010-10-20 12:00:00,TRUE,641.828557959411,501.9,246.13808634124,7.17374324798584,48.6804466247559,0
2010-10-20 12:15:00,TRUE,636.41484479421,503,246.360074772544,7.26611089706421,47.7972221374512,0
2010-10-20 12:30:00,TRUE,627.448105560949,465.5,243.336391403786,7.15277767181396,47.6311111450195,0
